suhu,kelembaban,curah_hujan
21.1,83.3,0.0
21.9,86.10176431411725,0.0
22.365333333333332,82.4,0.5
21.1,93.1,65.5
22.5,84.6,11.0
21.2,92.4,4.0
21.3,91.9,11.5
21.8,85.67083333333333,0.0
21.8,85.67083333333333,0.0
21.9,86.10176431411725,0.0
21.3,87.60912698412699,0.0
21.4,85.69734126984127,0.0
22.0,92.0,55.342166666666664
19.9,83.04523809523809,0.0
22.0,84.69677128427129,0.0
22.1,84.23055708180709,0.0
22.2,82.76635225885227,0.0
21.4,85.69734126984127,0.0
21.7,85.6772619047619,0.0
22.7,87.5232683982684,0.0
22.7,82.0,0.0
22.3,81.6921645021645,0.0
22.8,87.9,11.616777777777777
22.2,83.0,0.5
21.8,85.67083333333333,0.0
21.4,85.69734126984127,0.0
22.3,92.2,24.207333333333334
22.2,86.1,27.089999999999996
21.4,85.0,0.0
22.9,91.4,33.0
22.4,80.9,0.5
20.6,81.0,0.0
22.4,78.0,0.0
21.9,81.0,0.0
21.5,90.6,36.55633333333334
22.6,89.0,20.711666666666666
21.3,94.7,22.16
22.4,82.24,0.32
22.1,84.23055708180709,0.0
21.1,83.3,0.0
22.6,87.19954545454546,0.0
22.9,83.02,0.0
24.9,73.59615079365079,0.0
23.2,72.75031746031746,0.0
22.1,84.23055708180709,0.0
23.8,78.56376984126983,0.0
21.5,90.6,36.55633333333334
22.6,89.0,20.711666666666666
23.1,76.0,0.0
22.3,89.625,2.0
21.1,93.2,4.0
22.0,93.8,11.4
22.1,90.0,7.5
21.7,93.6,64.5
22.1,89.7,7.5
22.1,91.7,13.639333333333331
22.1,91.9,26.0
23.0,88.9,15.8
23.8,78.56376984126983,0.0
23.6,84.2,6.0
21.0,95.3,46.290000000000006
21.8,94.6,28.5
21.6,91.4,12.8
22.1,89.3,20.9
22.0,94.0,35.0
22.1,91.7,13.639333333333331
20.8,95.775,2.0
21.7,92.0,4.9
22.999999999999996,85.85,2.0
21.7,94.9,30.6
21.6,70.91,2.67
21.8,85.67083333333333,0.0
21.7,94.0,1.6
22.2,92.0,8.50675
21.2,93.0,1.5
21.0,94.8,24.9
20.9,90.0,0.0
22.1,84.23055708180709,0.0
21.9,86.10176431411725,0.0
21.5,90.6,36.55633333333334
