TANGGAL,TAVG,RH_AVG,RR
12/6/2022,22.2,90,12.5
13-06-2022,21.5,94,
14-06-2022,22.1,92,
15-06-2022,21.8,88,0.8
16-06-2022,22.1,92,0
17-06-2022,21.2,92,7.5
18-06-2022,22.9,88,15.8
19-06-2022,22.5,90,0
20-06-2022,21.4,90,
21-06-2022,21.9,90,0
22-06-2022,21.9,80,0
23-06-2022,22.5,85,
24-06-2022,22.3,89,
25-06-2022,22.4,84,
26-06-2022,22.1,89,0
27-06-2022,21.5,92,15
28-06-2022,,,0
29-06-2022,21,85,0
30-06-2022,21.8,85,0
1/7/2022,20.4,87,0
2/7/2022,21.6,90,
3/7/2022,22.8,91,16.5
4/7/2022,21.8,92,0
5/7/2022,21.6,94,1.5
6/7/2022,21.3,94,6.5
7/7/2022,20.1,92,1
8/7/2022,20.3,89,0
9/7/2022,19,88,
10/7/2022,20.2,86,
11/7/2022,21.4,90,0
12/7/2022,22.9,86,0
13-07-2022,21.9,88,0
14-07-2022,21.5,90,2.2
15-07-2022,21.7,88,0.3
16-07-2022,21.9,90,8888
17-07-2022,21.4,88,0
18-07-2022,22.4,87,0
19-07-2022,22.3,77,0
20-07-2022,21.1,,8888
21-07-2022,22,,0
22-07-2022,21.7,,0
23-07-2022,21.6,,0
24-07-2022,20.1,,
25-07-2022,18.7,,
26-07-2022,,,0
27-07-2022,21.6,,0
28-07-2022,21.7,,0
29-07-2022,20.9,,8888
30-07-2022,20.7,,
31-07-2022,19.3,,0
1/8/2022,20.1,,0
2/8/2022,21.4,,
3/8/2022,,,
4/8/2022,21.6,,
5/8/2022,19.7,,
6/8/2022,21.5,,
7/8/2022,21.4,,0
8/8/2022,20.7,,
9/8/2022,22.4,,
10/8/2022,22,,0
11/8/2022,21.1,,0
12/8/2022,21.9,,0
13-08-2022,,,0.5
14-08-2022,21.1,,65.5
15-08-2022,22.5,,11
16-08-2022,21.2,,4
17-08-2022,21.3,,11.5
18-08-2022,21.8,,0
19-08-2022,21.8,,
20-08-2022,21.9,,0
21-08-2022,21.3,,0
22-08-2022,21.4,,0
23-08-2022,22,,
24-08-2022,19.9,,0
25-08-2022,22,,0
26-08-2022,,,
27-08-2022,22.2,,0
28-08-2022,21.4,,0
29-08-2022,21.7,,
30-08-2022,22.7,,0
31-08-2022,22.7,82,0
2/9/2022,22.3,,0
3/9/2022,22.8,,
4/9/2022,22.2,83,0.5
5/9/2022,21.8,,0
6/9/2022,21.4,,0
7/9/2022,22.3,,
8/9/2022,22.2,,
9/9/2022,21.4,85,0
10/9/2022,22.9,,33
11/9/2022,22.4,,0.5
12/9/2022,20.6,81,
13-09-2022,22.4,78,0
14-09-2022,21.9,81,0
15-09-2022,21.5,,
16-09-2022,22.6,,
17-09-2022,21.3,,
18-09-2022,22.4,,
19-09-2022,22.1,,0
20-09-2022,21.1,,0
21-09-2022,22.6,,0
22-09-2022,22.9,,0
